Date,Lst Trd/Lst Px,Decimal,,,,
09/10/2025 21:45,104-06¼,104.19531 ,,,,
09/10/2025 21:40,104-06¼,104.19531 ,,,,
09/10/2025 21:35,104-06⅜,104.18750 ,,,,
09/10/2025 21:25,104-06¼,104.19531 ,,,,
09/10/2025 21:20,104-06⅜,104.18750 ,,,,
09/10/2025 21:15,104-06⅜,104.18750 ,,,,
09/10/2025 21:05,104-06¼,104.19531 ,,,,
09/10/2025 21:00,104-06¼,104.19531 ,,,,
09/10/2025 20:45,104-06¼,104.19531 ,,,,
09/10/2025 20:40,104-06¼,104.19531 ,,,,
09/10/2025 20:35,104-06⅜,104.18750 ,,,,
09/10/2025 20:30,104-06⅜,104.18750 ,,,,
09/10/2025 20:20,104-06⅜,104.18750 ,,,,
09/10/2025 20:15,104-06¼,104.19531 ,,,,
09/10/2025 20:10,104-06¼,104.19531 ,,,,
09/10/2025 20:05,104-06⅜,104.18750 ,,,,
09/10/2025 20:00,104-06⅜,104.18750 ,,,,
09/10/2025 19:55,104-06⅜,104.18750 ,,,,
09/10/2025 19:50,104-06¼,104.19531 ,,,,
09/10/2025 19:45,104-06⅜,104.18750 ,,,,
09/10/2025 19:40,104-06⅜,104.18750 ,,,,
09/10/2025 19:35,104-06⅜,104.18750 ,,,,
09/10/2025 19:30,104-06¼,104.19531 ,,,,
09/10/2025 19:25,104-06¼,104.19531 ,,,,
09/10/2025 19:05,104-06¼,104.19531 ,,,,
09/10/2025 18:55,104-06⅜,104.18750 ,,,,
09/10/2025 18:50,104-06⅜,104.18750 ,,,,
09/10/2025 18:45,104-06⅜,104.18750 ,,,,
09/10/2025 18:35,104-06+,104.20313 ,,,,
09/10/2025 18:30,104-06⅜,104.18750 ,,,,
09/10/2025 18:25,104-06⅜,104.18750 ,,,,
09/10/2025 18:20,104-06⅜,104.18750 ,,,,
09/10/2025 18:15,104-06⅜,104.18750 ,,,,
09/10/2025 18:10,104-06+,104.20313 ,,,,
09/10/2025 18:05,104-06⅜,104.18750 ,,,,
09/10/2025 18:00,104-06⅜,104.18750 ,,,,
09/10/2025 16:55,104-06¼,104.19531 ,,,,
09/10/2025 16:50,104-06¼,104.19531 ,,,,
09/10/2025 16:45,104-06¼,104.19531 ,,,,
09/10/2025 16:40,104-06¼,104.19531 ,,,,
09/10/2025 16:35,104-06⅛,104.18750 ,,,,
09/10/2025 16:30,104-06¼,104.19531 ,,,,
09/10/2025 16:25,104-06¼,104.19531 ,,,,
09/10/2025 16:20,104-06,104.18750 ,,,,
09/10/2025 16:15,104-06,104.18750 ,,,,
09/10/2025 16:10,104-06⅛,104.18750 ,,,,
09/10/2025 16:05,104-06⅛,104.18750 ,,,,
09/10/2025 16:00,104-06,104.18750 ,,,,
09/10/2025 15:55,104-06⅛,104.18750 ,,,,
09/10/2025 15:50,104-06⅛,104.18750 ,,,,
09/10/2025 15:45,104-06⅛,104.18750 ,,,,
09/10/2025 15:40,104-06⅜,104.18750 ,,,,
09/10/2025 15:35,104-06⅜,104.18750 ,,,,
09/10/2025 15:30,104-06⅜,104.18750 ,,,,
09/10/2025 15:25,104-06¼,104.19531 ,,,,
09/10/2025 15:20,104-06⅜,104.18750 ,,,,
09/10/2025 15:15,104-06¼,104.19531 ,,,,
09/10/2025 15:10,104-06¼,104.19531 ,,,,
09/10/2025 15:05,104-06¼,104.19531 ,,,,
09/10/2025 15:00,104-06¼,104.19531 ,,,,
09/10/2025 14:55,104-06⅛,104.18750 ,,,,
09/10/2025 14:50,104-06¼,104.19531 ,,,,
09/10/2025 14:45,104-06⅛,104.18750 ,,,,
09/10/2025 14:40,104-06¼,104.19531 ,,,,
09/10/2025 14:35,104-06⅛,104.18750 ,,,,
09/10/2025 14:30,104-06¼,104.19531 ,,,,
09/10/2025 14:25,104-06,104.18750 ,,,,
09/10/2025 14:20,104-06⅛,104.18750 ,,,,
09/10/2025 14:15,104-06,104.18750 ,,,,
09/10/2025 14:10,104-06,104.18750 ,,,,
09/10/2025 14:05,104-06,104.18750 ,,,,
09/10/2025 14:00,104-06⅛,104.18750 ,,,,
09/10/2025 13:55,104-06⅛,104.18750 ,,,,
09/10/2025 13:50,104-06¼,104.19531 ,,,,
09/10/2025 13:45,104-06¼,104.19531 ,,,,
09/10/2025 13:40,104-06⅛,104.18750 ,,,,
09/10/2025 13:35,104-06⅜,104.18750 ,,,,
09/10/2025 13:30,104-06¼,104.19531 ,,,,
09/10/2025 13:25,104-06¼,104.19531 ,,,,
09/10/2025 13:20,104-06¼,104.19531 ,,,,
09/10/2025 13:15,104-06¼,104.19531 ,,,,
09/10/2025 13:10,104-06,104.18750 ,,,,
09/10/2025 13:05,104-06¼,104.19531 ,,,,
09/10/2025 13:00,104-06⅛,104.18750 ,,,,
09/10/2025 12:55,104-06,104.18750 ,,,,
09/10/2025 12:50,104-06¼,104.19531 ,,,,
09/10/2025 12:45,104-06¼,104.19531 ,,,,
09/10/2025 12:40,104-06⅛,104.18750 ,,,,
09/10/2025 12:35,104-06¼,104.19531 ,,,,
